@relation 'TrainingData_g2-3-weka.filters.unsupervised.attribute.Remove-V-R6,11,13-14,25'

@attribute switch_door_hallway {on,off}
@attribute current_TV_livingroom {off,standby,on}
@attribute current_xbox_livingroom {off,standby,on}
@attribute current_microwave_kitchen {off,standby,on}
@attribute class {OtherActivity,g2-3}

@data
off,off,off,standby,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,standby,standby,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,off,standby,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,on,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,on,off,standby,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
off,off,off,on,OtherActivity
